Job 1, burst time: 3, waiting time: 198
Job 2, burst time: 3, waiting time: 199
Job 3, burst time: 3, waiting time: 200
Job 4, burst time: 3, waiting time: 201
Job 5, burst time: 3, waiting time: 202
Job 6, burst time: 3, waiting time: 203
Job 7, burst time: 3, waiting time: 204
Job 8, burst time: 3, waiting time: 205
Job 9, burst time: 3, waiting time: 206
Job 10, burst time: 3, waiting time: 207
Job 11, burst time: 3, waiting time: 208
Job 12, burst time: 3, waiting time: 209
Job 13, burst time: 3, waiting time: 210
Job 14, burst time: 3, waiting time: 211
Job 15, burst time: 3, waiting time: 212
Job 16, burst time: 3, waiting time: 213
Job 17, burst time: 3, waiting time: 214
Job 18, burst time: 3, waiting time: 215
Job 19, burst time: 3, waiting time: 216
Job 20, burst time: 3, waiting time: 217
Job 21, burst time: 3, waiting time: 218
Job 22, burst time: 3, waiting time: 219
Job 23, burst time: 3, waiting time: 220
Job 24, burst time: 3, waiting time: 221
Job 25, burst time: 3, waiting time: 222
Job 26, burst time: 3, waiting time: 223
Job 27, burst time: 3, waiting time: 224
Job 28, burst time: 3, waiting time: 225
Job 29, burst time: 3, waiting time: 226
Job 30, burst time: 3, waiting time: 227
Job 31, burst time: 3, waiting time: 228
Job 32, burst time: 3, waiting time: 229
Job 33, burst time: 3, waiting time: 230
Job 34, burst time: 3, waiting time: 231
Job 35, burst time: 3, waiting time: 232
Job 36, burst time: 3, waiting time: 233
Job 37, burst time: 3, waiting time: 234
Job 38, burst time: 3, waiting time: 235
Job 39, burst time: 3, waiting time: 236
Job 40, burst time: 3, waiting time: 237
Job 41, burst time: 3, waiting time: 238
Job 42, burst time: 3, waiting time: 239
Job 43, burst time: 3, waiting time: 240
Job 44, burst time: 3, waiting time: 241
Job 45, burst time: 3, waiting time: 242
Job 46, burst time: 3, waiting time: 243
Job 47, burst time: 3, waiting time: 244
Job 48, burst time: 3, waiting time: 245
Job 49, burst time: 3, waiting time: 246
Job 50, burst time: 3, waiting time: 247
Job 51, burst time: 3, waiting time: 248
Job 52, burst time: 3, waiting time: 249
Job 53, burst time: 3, waiting time: 250
Job 54, burst time: 3, waiting time: 251
Job 55, burst time: 3, waiting time: 252
Job 56, burst time: 3, waiting time: 253
Job 57, burst time: 3, waiting time: 254
Job 58, burst time: 3, waiting time: 255
Job 59, burst time: 3, waiting time: 256
Job 60, burst time: 3, waiting time: 257
Job 61, burst time: 3, waiting time: 258
Job 62, burst time: 3, waiting time: 259
Job 63, burst time: 3, waiting time: 260
Job 64, burst time: 3, waiting time: 261
Job 65, burst time: 3, waiting time: 262
Job 66, burst time: 3, waiting time: 263
Job 67, burst time: 3, waiting time: 264
Job 68, burst time: 3, waiting time: 265
Job 69, burst time: 3, waiting time: 266
Job 70, burst time: 3, waiting time: 267
Job 71, burst time: 3, waiting time: 268
Job 72, burst time: 3, waiting time: 269
Job 73, burst time: 3, waiting time: 270
Job 74, burst time: 3, waiting time: 271
Job 75, burst time: 3, waiting time: 272
Job 76, burst time: 3, waiting time: 273
Job 77, burst time: 3, waiting time: 274
Job 78, burst time: 3, waiting time: 275
Job 79, burst time: 3, waiting time: 276
Job 80, burst time: 3, waiting time: 277
Job 81, burst time: 3, waiting time: 278
Job 82, burst time: 3, waiting time: 279
Job 83, burst time: 3, waiting time: 280
Job 84, burst time: 3, waiting time: 281
Job 85, burst time: 3, waiting time: 282
Job 86, burst time: 3, waiting time: 283
Job 87, burst time: 3, waiting time: 284
Job 88, burst time: 3, waiting time: 285
Job 89, burst time: 3, waiting time: 286
Job 90, burst time: 3, waiting time: 287
Job 91, burst time: 3, waiting time: 288
Job 92, burst time: 3, waiting time: 289
Job 93, burst time: 3, waiting time: 290
Job 94, burst time: 3, waiting time: 291
Job 95, burst time: 3, waiting time: 292
Job 96, burst time: 3, waiting time: 293
Job 97, burst time: 3, waiting time: 294
Job 98, burst time: 3, waiting time: 295
Job 99, burst time: 3, waiting time: 296
Job 100, burst time: 3, waiting time: 297
