Job 1, burst time: 100, waiting time: 250
Job 2, burst time: 1, waiting time: 2
Job 3, burst time: 1, waiting time: 3
Job 4, burst time: 1, waiting time: 4
Job 5, burst time: 1, waiting time: 5
Job 6, burst time: 1, waiting time: 6
Job 7, burst time: 1, waiting time: 7
Job 8, burst time: 1, waiting time: 8
Job 9, burst time: 1, waiting time: 9
Job 10, burst time: 1, waiting time: 10
Job 11, burst time: 1, waiting time: 11
Job 12, burst time: 1, waiting time: 12
Job 13, burst time: 1, waiting time: 13
Job 14, burst time: 1, waiting time: 14
Job 15, burst time: 1, waiting time: 15
Job 16, burst time: 1, waiting time: 16
Job 17, burst time: 1, waiting time: 17
Job 18, burst time: 1, waiting time: 18
Job 19, burst time: 1, waiting time: 19
Job 20, burst time: 1, waiting time: 20
Job 21, burst time: 1, waiting time: 21
Job 22, burst time: 1, waiting time: 22
Job 23, burst time: 1, waiting time: 23
Job 24, burst time: 1, waiting time: 24
Job 25, burst time: 1, waiting time: 25
Job 26, burst time: 1, waiting time: 26
Job 27, burst time: 1, waiting time: 27
Job 28, burst time: 1, waiting time: 28
Job 29, burst time: 1, waiting time: 29
Job 30, burst time: 1, waiting time: 30
Job 31, burst time: 1, waiting time: 31
Job 32, burst time: 1, waiting time: 32
Job 33, burst time: 1, waiting time: 33
Job 34, burst time: 1, waiting time: 34
Job 35, burst time: 1, waiting time: 35
Job 36, burst time: 100, waiting time: 252
Job 37, burst time: 1, waiting time: 38
Job 38, burst time: 1, waiting time: 39
Job 39, burst time: 1, waiting time: 40
Job 40, burst time: 1, waiting time: 41
Job 41, burst time: 1, waiting time: 42
Job 42, burst time: 1, waiting time: 43
Job 43, burst time: 1, waiting time: 44
Job 44, burst time: 1, waiting time: 45
Job 45, burst time: 1, waiting time: 46
Job 46, burst time: 1, waiting time: 47
Job 47, burst time: 1, waiting time: 48
Job 48, burst time: 1, waiting time: 49
Job 49, burst time: 1, waiting time: 50
Job 50, burst time: 1, waiting time: 51
Job 51, burst time: 1, waiting time: 52
Job 52, burst time: 1, waiting time: 53
Job 53, burst time: 1, waiting time: 54
Job 54, burst time: 1, waiting time: 55
Job 55, burst time: 1, waiting time: 56
Job 56, burst time: 1, waiting time: 57
Job 57, burst time: 100, waiting time: 254
